,Unnamed: 0,TradeDate,Open,High,Low,Close,Adj_Close,Volume,Ticker,bollinger_sma,bollinger_band_lower,bollinger_band_upper,bollinger_band_percentage,stochastic_oscillator_sma,rolling_avg,price_to_SMA_ratio,window_start_price,window_end_price,momentum,TraingOrders,TrainGridSearch,TrainBenchmark,TestOrders,TestGridSearch,TestBenchmark
0,0,2017-03-21,1055.36,1122.43,1055.36,1120.54,1120.54,337391008,BTC,1120.54,,,,,1120.54,0.0,1120.54,1120.54,0.0,,500000.0,500000.0,,500000.0,500000.0
1,1,2017-03-22,1120.65,1120.65,1014.21,1049.14,1049.14,380840992,BTC,1084.84,933.3777274698416,1236.302272530158,0.3821488698022426,0.0,1084.84,-0.0329080786106707,1120.54,1049.14,-0.0637192782052,,500000.0,500000.0,,500000.0,500000.0
2,2,2017-03-23,1050.05,1058.01,1028.93,1038.59,1038.59,248540000,BTC,1069.423333,935.6788097476441,1203.1678562523562,0.38473048372297775,0.0,1069.423333,-0.028831737674457486,1120.54,1038.59,-0.07313438163739999,,500000.0,500000.0,,500000.0,500000.0
3,3,2017-03-24,1038.45,1040.47,934.36,937.52,937.52,491038016,BTC,1036.4475,810.457088643677,1262.437911356323,0.28112456319215395,0.0,1036.4475,-0.09544863584503797,1120.54,937.52,-0.1633319649455,,500000.0,500000.0,,500000.0,500000.0
4,4,2017-03-25,936.54,975.76,903.71,972.78,972.78,435803008,BTC,1023.714,810.1721059370316,1237.2558940629685,0.38074002943661056,4.8164135067205,1023.714,-0.04975413054818045,1120.54,972.78,-0.1318649936638,,500000.0,500000.0,,500000.0,500000.0
5,5,2017-03-26,974.02,1007.96,954.19,966.72,966.72,303668000,BTC,1014.215,810.8616462779628,1217.5683537220373,0.3832205146099516,7.044038902852,1014.215,-0.046829321199154034,1120.54,966.72,-0.1372731004694,,500000.0,500000.0,,500000.0,500000.0
6,6,2017-03-27,972.05,1046.4,971.98,1045.77,1045.77,372535008,BTC,1018.722857,829.6707540910777,1207.7749599089225,0.5715335682169858,15.727789312643331,1018.722857,0.026550050206638292,1120.54,1045.77,-0.0667267567423,,500000.0,500000.0,,500000.0,500000.0
7,7,2017-03-28,1044.58,1064.65,1027.73,1047.15,1047.15,326332000,BTC,1022.27625,844.6699468269826,1199.8825531730174,0.5700249640795941,22.03818474171429,1022.27625,0.02433173029305924,1120.54,1047.15,-0.06549520766769999,,500000.0,500000.0,,500000.0,500000.0
8,8,2017-03-29,1046.08,1055.13,1015.88,1039.97,1039.97,298457984,BTC,1024.242222,857.1671854146381,1191.317258585362,0.5470680070507253,26.28059774887975,1024.242222,0.0153555259314432,1120.54,1039.97,-0.07190283256289999,,500000.0,500000.0,,500000.0,500000.0
9,9,2017-03-30,1042.21,1049.29,1020.04,1026.43,1026.43,352968992,BTC,1024.461,866.9274718544016,1181.9945281455985,0.5062494632830804,28.758241357957118,1024.461,0.00192198629328008,1120.54,1026.43,-0.0839862923233,,500000.0,500000.0,,500000.0,500000.0
10,10,2017-03-31,1026.64,1074.92,1026.64,1071.79,1071.79,447287008,BTC,1028.763636,873.3033950086424,1184.2238769913577,0.638383819958159,33.21877390449121,1028.763636,0.04182337175844734,1120.54,1071.79,-0.0435058096989,,500000.0,500000.0,,500000.0,500000.0
11,11,2017-04-01,1071.71,1091.72,1061.09,1080.5,1080.5,289633984,BTC,1033.075,878.2257364329015,1187.9242635670985,0.6531327915532839,37.30094078143464,1033.075,0.04590663794981003,1120.54,1080.5,-0.0357327716994,,500000.0,500000.0,,500000.0,500000.0
12,12,2017-04-02,1080.61,1107.59,1075.45,1102.17,1102.17,514187008,BTC,1038.39,879.3765963196812,1197.4034036803191,0.7005491314688903,41.68943284886892,1038.39,0.06142200907173605,1120.54,1102.17,-0.0163938815214,,500000.0,500000.0,,500000.0,500000.0
13,13,2017-04-03,1102.95,1151.74,1102.95,1143.81,1143.81,580444032,BTC,1045.92,871.3217303812945,1220.5182696187055,0.7803292386968551,46.17486109126361,1045.92,0.09359224414869206,1120.54,1143.81,0.0207667731629,,500000.0,500000.0,,500000.0,500000.0
14,14,2017-04-04,1145.52,1156.44,1120.52,1133.25,1133.25,436310016,BTC,1051.742,870.405283293994,1233.078716706006,0.7247421302221594,49.653870497398934,1051.742,0.07749809363893426,1120.54,1133.25,0.011342745462,,500000.0,500000.0,,500000.0,500000.0
15,15,2017-04-05,1134.14,1135.09,1113.63,1124.78,1124.78,414784000,BTC,1052.024667,869.6271923229324,1234.4221416770677,0.6994417223396664,52.39528729093927,1052.024667,0.06915744020287311,1049.14,1124.78,0.0720971462341,,500000.0,500000.0,,500000.0,500000.0
16,16,2017-04-06,1125.81,1188.37,1125.81,1182.68,1182.68,511222016,BTC,1060.927333,852.4247743928831,1269.429891607117,0.7919692396423286,59.06195395760594,1060.927333,0.11476060915097565,1038.59,1182.68,0.1387361711551,,500000.0,500000.0,,500000.0,500000.0
17,17,2017-04-07,1178.94,1186.58,1163.39,1176.9,1176.9,317022016,BTC,1070.148,844.3628666541574,1295.9331333458424,0.7364017471347076,65.5714443584326,1070.148,0.0997544264905415,937.52,1176.9,0.255333219558,,500000.0,500000.0,,500000.0,500000.0
18,18,2017-04-08,1172.65,1184.98,1162.58,1175.95,1175.95,209312000,BTC,1086.043333,875.2572968333292,1296.829369166671,0.7132652348206541,72.03035650265687,1086.043333,0.08278368299692883,972.78,1175.95,0.20885503402620004,,500000.0,500000.0,,500000.0,500000.0
19,19,2017-04-09,1176.57,1197.21,1171.86,1187.87,1187.87,242343008,BTC,1100.382667,898.2276515079985,1302.5376824920015,0.7163867485233409,77.41264623419806,1100.382667,0.07950628051832082,966.72,1187.87,0.2287632406488,,500000.0,500000.0,,500000.0,500000.0
20,20,2017-04-10,1187.3,1190.34,1179.04,1187.13,1187.13,215883008,BTC,1115.076667,935.8084550142399,1294.3448789857605,0.7009651688993346,82.98511855981651,1115.076667,0.06461738025050075,1045.77,1187.13,0.135173126022,,500000.0,500000.0,,500000.0,500000.0
21,21,2017-04-11,1187.46,1208.07,1187.46,1205.01,1205.01,216182000,BTC,1125.692667,943.588659701188,1307.796674298812,0.7177803063659359,85.70868246904321,1125.692667,0.07046091293406286,1047.15,1205.01,0.1507520412548,,500000.0,500000.0,,500000.0,500000.0
22,22,2017-04-12,1204.81,1207.14,1196.76,1200.37,1200.37,288702016,BTC,1135.907333,957.6518714046498,1314.1627945953505,0.6808154051019584,88.20876029578146,1135.907333,0.056749934723768526,1039.97,1200.37,0.15423521832360002,,500000.0,500000.0,,500000.0,500000.0
23,23,2017-04-13,1201.02,1205.89,1156.44,1169.28,1169.28,351968992,BTC,1144.528,983.7252470118393,1305.3307529881606,0.5769638564640193,89.8097384009324,1144.528,0.02162638222918094,1026.43,1169.28,0.13917169217579997,,500000.0,500000.0,,500000.0,500000.0
24,24,2017-04-14,1170.33,1190.8,1159.79,1167.54,1167.54,254827008,BTC,1153.935333,1025.9565772964513,1281.9140887035485,0.5531520521715106,91.36268522247208,1153.935333,0.011789800182849591,1071.79,1167.54,0.08933653047710001,,500000.0,500000.0,,500000.0,500000.0
25,25,2017-04-15,1167.3,1188.0,1164.96,1172.52,1172.52,203559008,BTC,1160.6506669999999,1051.894795749623,1269.4065382503773,0.5545686998942538,91.39882812656607,1160.6506669999999,0.01022644740357522,1080.5,1172.52,0.08516427579819999,,500000.0,500000.0,,500000.0,500000.0
26,26,2017-04-16,1172.61,1187.22,1172.61,1182.94,1182.94,183231008,BTC,1167.48,1080.4875756992926,1254.4724243007076,0.5888583122281966,91.42661940997634,1167.48,0.013242196868468841,1102.17,1182.94,0.0732827059347,,500000.0,500000.0,,500000.0,500000.0
27,27,2017-04-17,1183.25,1194.9,1172.65,1193.91,1193.91,253206000,BTC,1173.596,1103.4959953943346,1243.6960046056654,0.6448930004660683,91.17341478848185,1173.596,0.01730919328286736,1143.81,1193.91,0.0438009809321,,500000.0,500000.0,,500000.0,500000.0
28,28,2017-04-18,1193.77,1217.57,1193.77,1211.67,1211.67,270524000,BTC,1178.12,1106.8584222940378,1249.3815777059622,0.7354003453195596,91.17341478848185,1178.12,0.028477574440634233,1133.25,1211.67,0.06919920582399999,,500000.0,500000.0,,500000.0,500000.0
