TradeDate,Open,High,Low,Close,Adj_Close,Volume,bollinger_sma,bollinger_band_lower,bollinger_band_upper,bollinger_band_percentage,stochastic_oscillator_sma,rolling_avg,price_to_SMA_ratio,window_start_price,window_end_price,momentum

2017-03-22,1120.65,1120.65,1014.21,1049.14,1049.14,380840992,1084.840000,933.3777274698417,1236.302272530158,0.3821488698022426,0,1084.840000,-0.03290807861067070,1120.54,1049.14,-0.0637192782052
2017-03-23,1050.05,1058.01,1028.93,1038.59,1038.59,248540000,1069.423333,935.6788097476439,1203.1678562523562,0.38473048372297775,0,1069.423333,-0.02883173767445749,1120.54,1038.59,-0.0731343816374
2017-03-24,1038.45,1040.47,934.36,937.52,937.52,491038016,1036.447500,810.457088643677,1262.437911356323,0.28112456319215395,0,1036.447500,-0.09544863584503798,1120.54,937.52,-0.1633319649455
2017-03-25,936.54,975.76,903.71,972.78,972.78,435803008,1023.714000,810.1721059370316,1237.2558940629685,0.38074002943661056,4.8164135067205000000,1023.714000,-0.04975413054818045,1120.54,972.78,-0.1318649936638
2017-03-26,974.02,1007.96,954.19,966.72,966.72,303668000,1014.215000,810.8616462779628,1217.5683537220373,0.38322051460995155,7.0440389028520000000,1014.215000,-0.04682932119915403,1120.54,966.72,-0.1372731004694
