tweet_date,pct_positive,pct_negative,pct_neutral,avg_compound_sentiment,tweet_volume
2012-04-10,0.0,0.5,0.5,-0.4245000,2
2012-08-11,0.5,0.0,0.5,0.4940000,2
2013-07-28,0.0,0.0,1.0,0.2565729,96
2013-08-03,0.0,0.0,1.0,-0.0549750,80
2015-12-30,0.0,0.0,1.0,0.3609772,219
2012-04-24,0.0,0.0,1.0,-0.1266667,3
2012-08-07,0.0,0.0,1.0,0.4260000,3
2014-02-28,0.0,0.0,1.0,0.3261640,189
2014-08-21,0.0,0.0,1.0,0.3404973,183
2014-06-19,0.0,0.0,1.0,0.3219956,228
2016-04-30,0.0,0.0,1.0,0.2174312,269
2012-10-23,0.0,0.0,1.0,0.6145000,2
2013-07-19,0.0,0.0,0.96875,0.0016875,32
2013-07-09,0.0,0.0,1.0,0.0734000,35
2013-07-23,0.0,0.0,1.0,-0.0329688,32
2013-08-21,0.0,0.0,1.0,0.0813086,81
2014-02-13,0.0,0.0,1.0,0.2583175,252
2014-03-05,0.0,0.0,1.0,0.3752813,160
2014-03-09,0.0,0.006666666666666667,0.9933333333333333,0.2857600,150
2014-03-02,0.0,0.0,1.0,0.2772990,194
2013-12-09,0.0,0.0,1.0,0.3125773,362
2012-06-25,0.0,0.0,1.0,0.5833333,6
2012-11-23,0.0,0.0,1.0,0.4870909,11
2012-12-22,0.0,0.0,1.0,0.4555000,4
2013-09-26,0.0,0.0,1.0,-0.0359032,62
2014-01-06,0.0,0.0,1.0,0.3093109,357
2013-05-24,0.0,0.0,1.0,0.7282760,308
2017-08-08,0.0,0.0425531914893617,0.9432624113475178,-0.0909929,141
2017-12-03,0.029411764705882353,0.022058823529411766,0.9485294117647058,0.1162647,136
2012-02-16,0.0,0.0,1.0,0.3444000,5
2012-09-10,0.0,0.0,1.0,0.2090000,5
2012-10-01,0.0,0.0,1.0,-0.1446667,3
2013-04-20,0.0,0.013333333333333334,0.9866666666666667,0.0290533,75
2014-05-11,0.0,0.0,1.0,0.4229744,156
2014-06-09,0.0,0.0,1.0,0.3192587,201
2012-03-02,0.0,0.0,1.0,0.0380000,4
2012-07-19,0.0,0.0,1.0,0.4940000,1
2013-05-31,0.0,0.0,1.0,0.6274567,254
2013-08-23,0.0,0.0,1.0,0.2351940,67
2013-12-18,0.011494252873563218,0.0,0.9885057471264368,0.1733966,174
2014-03-30,0.0,0.0,1.0,0.3554633,259
2012-07-22,0.0,0.0,1.0,0.4632500,8
2012-08-18,0.0,0.0,1.0,0.4890000,6
2013-08-05,0.0,0.0,1.0,0.3043017,116
2013-09-02,0.0,0.0,1.0,-0.0419130,23
2014-03-19,0.0,0.0,1.0,0.3965021,241
2012-01-20,0.0,0.0,1.0,0.7940000,1
2013-10-13,0.0,0.0,1.0,0.1856531,49
2014-01-03,0.0,0.0,1.0,0.3315867,346
2012-01-25,0.0,0.0,1.0,-0.2176667,3
2012-04-22,0.0,0.0,1.0,0.2635000,2
2013-02-06,0.0,0.0,1.0,0.4220000,1
2013-03-20,0.0,0.0,1.0,-0.0045833,12
2013-08-08,0.0,0.0,1.0,0.1573030,66
2014-03-16,0.0,0.005208333333333333,0.9947916666666666,0.4077083,192
2012-07-11,0.0,0.0,1.0,0.2938000,5
2013-06-26,0.0,0.0,1.0,0.0230952,21
2012-10-25,0.3333333333333333,0.0,0.6666666666666666,0.1300000,3
2012-12-15,0.0,0.0,1.0,0.5456667,6
2012-12-26,0.0,0.0,1.0,0.1147500,4
2013-03-28,0.0,0.0,1.0,0.1973333,18
2013-05-04,0.0,0.0,1.0,0.7634578,533
2014-03-26,0.0,0.0,1.0,0.3099477,172
2014-05-01,0.0,0.0,1.0,0.3296835,139
2014-05-14,0.0,0.0,1.0,0.4434844,192
2012-07-28,0.0,0.0,1.0,0.1976000,5
2013-09-10,0.0,0.0,1.0,-0.0031463,41
2012-02-18,0.0,0.0,1.0,0.2020000,1
