cum sum,daily ret,daily stdev,sharpe,
-inf,-inf,nan,nan,
4885.716259904169,0.5032441015158671,15.401172350741533,0.5187106712588748,
17407.99982417179,0.18259853291619996,11.546593700095467,0.2510404299707086,
29133.810587887794,0.04404958777543241,1.061583571151948,0.6587004044283031,
23485.434145825937,0.09825209775226237,1.8844145986881486,0.8276860621559438,
24128.181336626385,0.2874990294954256,11.828768793619837,0.3858309926359862,
19422.93762740214,0.011896484852244654,2.5309835397926057,0.07461559484689215,
19074.744431321993,-0.0009840615751973301,0.9202770983961139,-0.016974771233257174,
17521.245345050247,0.2063400422567262,9.157590443435986,0.35768651635900556,
344.27494407954066,0.041999966812904375,1.5868017179344205,0.4201714656745922,
