,Sum
2019-01-01,1.0
2019-01-02,0.9740074410616706
2019-01-03,0.9462509453551912
2019-01-04,0.9407926268540202
2019-01-05,0.9440512656778558
2019-01-06,0.8838280057246941
2019-01-07,0.8704571295862604
2019-01-08,0.8719142227426488
2019-01-09,0.8730717785584177
2019-01-10,0.7803390629716366
2019-01-11,0.7781426232110328
2019-01-12,0.7849249427530572
2019-01-13,0.8131185154826955
2019-01-14,0.7732800765027319
2019-01-15,0.7928941678376267
2019-01-16,0.7865627749154304
2019-01-17,0.7804328948737963
2019-01-18,0.785825715586781
2019-01-19,0.7674210827478529
2019-01-20,0.8006125183450428
2019-01-21,0.8071129609679935
2019-01-22,0.7996852542284671
2019-01-23,0.8047474715066352
2019-01-24,0.8006510801457192
2019-01-25,0.8009372133749673
2019-01-26,0.8002360476190473
2019-01-27,0.8050485974499086
2019-01-28,0.8345868178506373
2019-01-29,0.8403982922196198
2019-01-30,0.8304933486859223
2019-01-31,0.8378805243299503
2019-02-01,0.8300344176424664
2019-02-02,0.8214173273484257
2019-02-03,0.83626181420765
2019-02-04,0.8375262885766325
2019-02-05,0.8356518756180065
2019-02-06,0.849336392922196
2019-02-07,0.8530564402810302
2019-02-08,0.7834991691386934
2019-02-09,0.7823481569086649
2019-02-10,0.7872882086911265
2019-02-11,0.7764223309914128
2019-02-12,0.7777488727556594
2019-02-13,0.7721652123341136
2019-02-14,0.7682126497527971
2019-02-15,0.7692352706219096
2019-02-16,0.7715711558678113
2019-02-17,0.7830331865729896
2019-02-18,0.8459731223002859
2019-02-19,0.8541386510538639
2019-02-20,0.867858680978402
2019-02-21,0.8559663070517821
2019-02-22,0.8693434725474887
2019-02-23,0.9049927684100959
2019-02-24,0.8185760718188912
2019-02-25,0.7997707637262553
2019-02-26,0.7923967384855579
2019-02-27,0.7915352898776996
2019-02-28,0.7925079771012229
2019-03-01,0.7937565693468642
2019-03-02,0.7924994007285973
2019-03-03,0.7969852862347122
2019-03-04,0.819264404631798
2019-03-05,0.7841829914129584
2019-03-06,0.7822137936507934
2019-03-07,0.7802513299505593
2019-03-08,0.7829452625552952
2019-03-09,0.7991258842050478
2019-03-10,0.802173989071038
2019-03-11,0.7901072289877699
2019-03-12,0.791129595628415
2019-03-13,0.7904949443143375
2019-03-14,0.7950881933385372
2019-03-15,0.8045969084048916
2019-03-16,0.8274474670830078
2019-03-17,0.8213332786885242
2019-03-18,0.8232271948998177
2019-03-19,0.8332929929742384
2019-03-20,0.8375308623471244
2019-03-21,0.8223996070778036
2019-03-22,0.8210052167577411
2019-03-23,0.8179195664845171
2019-03-24,0.8143655193858966
2019-03-25,0.8297435199063236
2019-03-26,0.8240161574290922
2019-03-27,0.7974782050481399
2019-03-28,0.7928050372105131
2019-03-29,0.8004207889669532
2019-03-30,0.7982647535779341
2019-03-31,0.7985915448868074
2019-04-01,0.7848577931303671
2019-04-02,0.5970631470205572
2019-04-03,0.5728258212334115
2019-04-04,0.5858945552953424
2019-04-05,0.6155282591725215
2019-04-06,0.6095079024199845
2019-04-07,0.573317532916992
2019-04-08,0.54967089669529
2019-04-09,0.5717402435597189
2019-04-10,0.6028600098881078
2019-04-11,0.5351878878480352
2019-04-12,0.5417065633619566
2019-04-13,0.5435403814728074
2019-04-14,0.562050852979443
2019-04-15,0.5358698043195417
2019-04-16,0.5797030523028881
2019-04-17,0.5839649357272961
2019-04-18,0.5718786088992972
2019-04-19,0.5704664938849856
2019-04-20,0.561600053603955
2019-04-21,0.5676773317720529
2019-04-22,0.5456023944834761
2019-04-23,0.5005862427790787
2019-04-24,0.4726144483476449
2019-04-25,0.5387999997397864
2019-04-26,0.5567111420765023
2019-04-27,0.5538339292219614
2019-04-28,0.5494498168097832
2019-04-29,0.5592824009888098
2019-04-30,0.5323830973198014
2019-05-01,0.5188596252927393
2019-05-02,0.545553985167837
2019-05-03,0.6139916276346599
2019-05-04,0.6303533057507151
2019-05-05,0.6211264038511575
2019-05-06,0.6084016141035643
2019-05-07,0.6299197863648187
2019-05-08,0.669720997658079
2019-05-09,0.7197005160031221
2019-05-10,0.7728673939630492
2019-05-11,0.98778343950039
2019-05-12,0.9273098766588594
2019-05-13,1.146550953161592
2019-05-14,1.1932595081967206
2019-05-15,1.248099985167837
2019-05-16,1.164764364819151
2019-05-17,1.0239853713244853
2019-05-18,1.0050711116315374
2019-05-19,1.246153975279729
2019-05-20,1.189068268540202
2019-05-21,1.185169896174863
2019-05-22,1.111461535258912
2019-05-23,1.1639674613583133
2019-05-24,1.1914264522508449
2019-05-25,1.2083851727816806
2019-05-26,1.36989229612282
2019-05-27,1.4043868316419457
2019-05-28,1.3820562550091071
2019-05-29,1.366319952901379
2019-05-30,1.2778435935467078
2019-05-31,1.3442056276346601
2019-06-01,1.3414771990632315
2019-06-02,1.3880401462399161
2019-06-03,1.249095860265417
2019-06-04,1.3795210804059326
2019-06-05,1.349216513921415
2019-06-06,1.349791066874837
2019-06-07,1.2920425022118132
2019-06-08,1.3154157111631535
2019-06-09,1.3846456830601086
2019-06-10,1.3033934212854534
2019-06-11,1.3222888766588596
2019-06-12,1.2655251329690338
2019-06-13,1.287660549570647
2019-06-14,1.4081157096018726
2019-06-15,1.4457274691647142
2019-06-16,1.4863502328909697
2019-06-17,1.5711444712464209
2019-06-18,1.5090602027062183
2019-06-19,1.5589584043715838
2019-06-20,1.6249585792349717
2019-06-21,1.785613402029664
2019-06-22,1.9305873208430904
2019-06-23,1.970576829039812
2019-06-24,2.01110023523289
2019-06-25,2.2140183851157937
