,Sum
2019-01-01,1.0
2019-01-02,0.9740074410616706
2019-01-03,0.9462509453551912
2019-01-04,0.9407926268540202
2019-01-05,0.9440512656778558
2019-01-06,0.8838280057246941
2019-01-07,0.8704571295862604
2019-01-08,0.8719142227426488
2019-01-09,0.8730717785584177
2019-01-10,0.7803390629716366
2019-01-11,0.7781426232110328
2019-01-12,0.7849249427530572
2019-01-13,0.8131185154826955
2019-01-14,0.7732800765027319
2019-01-15,0.7928941678376267
2019-01-16,0.7865627749154304
2019-01-17,0.7804328948737963
2019-01-18,0.785825715586781
2019-01-19,0.7674210827478529
2019-01-20,0.8006125183450428
2019-01-21,0.8071129609679935
2019-01-22,0.7996852542284671
2019-01-23,0.8047474715066352
2019-01-24,0.8006510801457192
2019-01-25,0.8009372133749673
2019-01-26,0.8002360476190473
2019-01-27,0.8050485974499086
2019-01-28,0.8345868178506373
2019-01-29,0.8403982922196198
2019-01-30,0.8304933486859223
2019-01-31,0.8378805243299503
2019-02-01,0.8300344176424664
2019-02-02,0.8214173273484257
2019-02-03,0.83626181420765
2019-02-04,0.8375262885766325
2019-02-05,0.8356518756180065
2019-02-06,0.849336392922196
2019-02-07,0.8530564402810302
2019-02-08,0.7834991691386934
2019-02-09,0.7823481569086649
2019-02-10,0.7872882086911265
2019-02-11,0.7764223309914128
2019-02-12,0.7777488727556594
2019-02-13,0.7721652123341136
2019-02-14,0.7682126497527971
2019-02-15,0.7692352706219096
2019-02-16,0.7715711558678113
2019-02-17,0.7830331865729896
2019-02-18,0.8459731223002859
2019-02-19,0.8541386510538639
2019-02-20,0.867858680978402
2019-02-21,0.8559663070517821
2019-02-22,0.8693434725474887
2019-02-23,0.9049927684100959
2019-02-24,0.8185760718188912
2019-02-25,0.7997707637262553
2019-02-26,0.7923967384855579
2019-02-27,0.7915352898776996
2019-02-28,0.7925079771012229
2019-03-01,0.7937565693468642
2019-03-02,0.7924994007285973
2019-03-03,0.7969852862347122
2019-03-04,0.819264404631798
2019-03-05,0.7841829914129584
2019-03-06,0.7822137936507934
2019-03-07,0.7841762573510275
2019-03-08,0.7814823247462916
2019-03-09,0.7976629463960443
2019-03-10,0.7946148415300542
2019-03-11,0.7825480814467861
2019-03-12,0.7835704480874313
2019-03-13,0.7829357967733538
2019-03-14,0.7875290457975535
2019-03-15,0.7970377608639079
2019-03-16,0.819888319542024
2019-03-17,0.8137741311475405
2019-03-18,0.8156680473588339
2019-03-19,0.8257338454332547
2019-03-20,0.8299717148061406
2019-03-21,0.8148404595368198
2019-03-22,0.8134460692167573
2019-03-23,0.8103604189435334
2019-03-24,0.8068063718449129
2019-03-25,0.8221843723653398
2019-03-26,0.8164570098881084
2019-03-27,0.7899190575071562
2019-03-28,0.7852458896695294
2019-03-29,0.7928616414259696
2019-03-30,0.7907056060369504
2019-03-31,0.7910323973458238
2019-04-01,0.7772986455893833
2019-04-02,0.5895039994795734
2019-04-03,0.5652666736924278
2019-04-04,0.5783354077543587
2019-04-05,0.6079691116315378
2019-04-06,0.6019487548790008
2019-04-07,0.5657583853760082
2019-04-08,0.5421117491543063
2019-04-09,0.5641810960187351
2019-04-10,0.5953008623471241
2019-04-11,0.5276287403070514
2019-04-12,0.5341474158209728
2019-04-13,0.5359812339318236
2019-04-14,0.5544917054384593
2019-04-15,0.5283106567785579
2019-04-16,0.5721439047619044
2019-04-17,0.5764057881863124
2019-04-18,0.5643194613583135
2019-04-19,0.5629073463440019
2019-04-20,0.5540409060629713
2019-04-21,0.5601181842310692
2019-04-22,0.5380432469424924
2019-04-23,0.4930270952380949
2019-04-24,0.46505530080666113
2019-04-25,0.5312408521988027
2019-04-26,0.5491519945355186
2019-04-27,0.5462747816809777
2019-04-28,0.5418906692687995
2019-04-29,0.551723253447826
2019-04-30,0.5248239497788176
2019-05-01,0.5383474218058796
2019-05-02,0.5650417816809772
2019-05-03,0.6334794241478001
2019-05-04,0.6498411022638553
2019-05-05,0.6406142003642977
2019-05-06,0.6278894106167044
2019-05-07,0.6494075828779589
2019-05-08,0.6892087941712193
2019-05-09,0.7391883125162623
2019-05-10,0.7923551904761894
2019-05-11,1.0072712360135303
2019-05-12,0.9467976731719996
2019-05-13,1.1660387496747324
2019-05-14,1.212747304709861
2019-05-15,1.2675877816809773
2019-05-16,1.1842521613322914
2019-05-17,1.0434731678376257
2019-05-18,1.0245589081446775
2019-05-19,1.2656417717928694
2019-05-20,1.2085560650533425
2019-05-21,1.2046576926880033
2019-05-22,1.130949331772052
2019-05-23,1.1834552578714534
2019-05-24,1.210914248763985
2019-05-25,1.2278729692948207
2019-05-26,1.38938009263596
2019-05-27,1.423874628155086
2019-05-28,1.4015440515222473
2019-05-29,1.3858077494145191
2019-05-30,1.297331390059848
2019-05-31,1.3636934241478003
2019-06-01,1.3609649955763716
2019-06-02,1.4075279427530563
2019-06-03,1.2685836567785573
2019-06-04,1.3990088769190727
2019-06-05,1.368704310434555
2019-06-06,1.3692788633879773
2019-06-07,1.3115302987249533
2019-06-08,1.3349035076762936
2019-06-09,1.404133479573249
2019-06-10,1.3228812177985936
2019-06-11,1.3417766731719998
2019-06-12,1.2850129294821742
2019-06-13,1.3071483460837872
2019-06-14,1.4276035061150127
2019-06-15,1.4652152656778543
2019-06-16,1.5058380294041098
2019-06-17,1.590632267759561
2019-06-18,1.5285479992193585
2019-06-19,1.578446200884724
2019-06-20,1.6444463757481118
2019-06-21,1.805101198542804
2019-06-22,1.9500751173562305
2019-06-23,1.9900646255529524
2019-06-24,2.0305880317460305
2019-06-25,2.2335061816289343
